task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.55,0.55,0.5595238095238095,0.55,0.53125
2class,lda,loso,2,2,,200,40,0.425,0.425,0.4145299145299145,0.425,0.40683430045132174
2class,lda,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,lda,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,lda,loso,5,5,,200,40,0.525,0.525,0.5255754475703325,0.525,0.5223130106851037
2class,lda,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,svm,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso,2,2,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,svm,loso,3,3,,200,40,0.375,0.375,0.34326018808777425,0.375,0.34167215273206053
2class,svm,loso,4,4,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,svm,loso,5,5,,200,40,0.65,0.65,0.65625,0.65,0.6464646464646464
2class,svm,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,logistic_regression,loso,1,1,,200,40,0.6,0.6,0.65625,0.6,0.5604395604395604
2class,logistic_regression,loso,2,2,,200,40,0.4,0.4,0.30392156862745096,0.4,0.3162393162393162
2class,logistic_regression,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.48849104859335035
2class,logistic_regression,loso,4,4,,200,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,logistic_regression,loso,5,5,,200,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,knn,loso,1,1,,200,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,knn,loso,2,2,,200,40,0.425,0.425,0.4145299145299145,0.425,0.40683430045132174
2class,knn,loso,3,3,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,knn,loso,4,4,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,knn,loso,5,5,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,knn,loso,6,6,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,random_forest,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,random_forest,loso,2,2,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,random_forest,loso,3,3,,200,40,0.35,0.35,0.35,0.35,0.35
2class,random_forest,loso,4,4,,200,40,0.4,0.4,0.39583333333333337,0.4,0.3939393939393939
2class,random_forest,loso,5,5,,200,40,0.45,0.45,0.45,0.45,0.45
2class,random_forest,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
4class,lda,loso,1,1,,400,80,0.2875,0.2875,0.2511973180076628,0.2875,0.2441355852685902
4class,lda,loso,2,2,,400,80,0.2,0.2,0.18285440613026818,0.2,0.1880236305048335
4class,lda,loso,3,3,,400,80,0.2125,0.2125,0.2564393939393939,0.2125,0.21248468512619456
4class,lda,loso,4,4,,400,80,0.2125,0.21250000000000002,0.16055555555555556,0.21250000000000002,0.16305418719211823
4class,lda,loso,5,5,,400,80,0.3125,0.3125,0.4172886879730866,0.3125,0.28380957450044103
4class,lda,loso,6,6,,400,80,0.275,0.275,0.3231684981684982,0.275,0.2409090909090909
4class,svm,loso,1,1,,400,80,0.2125,0.2125,0.21505681818181818,0.2125,0.15981566820276497
4class,svm,loso,2,2,,400,80,0.25,0.25,0.19821428571428573,0.25,0.1551094276094276
4class,svm,loso,3,3,,400,80,0.2125,0.21250000000000002,0.2182699692780338,0.21250000000000002,0.21134475131516023
4class,svm,loso,4,4,,400,80,0.175,0.17500000000000002,0.1375,0.17500000000000002,0.10298913043478261
4class,svm,loso,5,5,,400,80,0.35,0.35000000000000003,0.507948153582783,0.35000000000000003,0.2697338507109528
4class,svm,loso,6,6,,400,80,0.2875,0.28750000000000003,0.27880184331797236,0.28750000000000003,0.21275705404112863
4class,logistic_regression,loso,1,1,,400,80,0.2375,0.2375,0.25101626016260165,0.2375,0.19904371584699454
4class,logistic_regression,loso,2,2,,400,80,0.175,0.17500000000000002,0.14545454545454545,0.17500000000000002,0.146428105001959
4class,logistic_regression,loso,3,3,,400,80,0.2125,0.2125,0.2534412955465587,0.2125,0.18995994427028912
4class,logistic_regression,loso,4,4,,400,80,0.25,0.25,0.1917929292929293,0.25,0.20291895604395604
4class,logistic_regression,loso,5,5,,400,80,0.2875,0.2875,0.3458668372319688,0.2875,0.26488493775727817
4class,logistic_regression,loso,6,6,,400,80,0.275,0.275,0.2752747252747253,0.275,0.2316261360845001
4class,knn,loso,1,1,,400,80,0.25,0.25,0.3104984683932052,0.25,0.25519791477238285
4class,knn,loso,2,2,,400,80,0.2125,0.2125,0.2417043740573152,0.2125,0.194955825390608
4class,knn,loso,3,3,,400,80,0.2375,0.23750000000000002,0.25606060606060604,0.23750000000000002,0.21552274199660182
4class,knn,loso,4,4,,400,80,0.275,0.275,0.27352025580347084,0.275,0.27016987449318275
4class,knn,loso,5,5,,400,80,0.3375,0.3375,0.4862980769230769,0.3375,0.2871212121212121
4class,knn,loso,6,6,,400,80,0.3,0.3,0.2994517543859649,0.3,0.2616965867715493
4class,random_forest,loso,1,1,,400,80,0.15,0.15,0.12417582417582418,0.15,0.12388481084133258
