task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,lda,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,lda,loso,3,3,,200,40,0.625,0.625,0.6424501424501424,0.625,0.6131528046421664
2class,lda,loso,4,4,,200,40,0.425,0.425,0.4145299145299145,0.425,0.40683430045132174
2class,lda,loso,5,5,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,lda,loso,6,6,,200,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,svm,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,svm,loso,2,2,,200,40,0.525,0.525,0.5266666666666666,0.525,0.5174603174603174
2class,svm,loso,3,3,,200,40,0.675,0.675,0.6754385964912281,0.675,0.6747967479674797
2class,svm,loso,4,4,,200,40,0.475,0.475,0.46865203761755486,0.475,0.4470046082949308
2class,svm,loso,5,5,,200,40,0.55,0.55,0.763157894736842,0.55,0.4357366771159875
2class,svm,loso,6,6,,200,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,logistic_regression,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,logistic_regression,loso,2,2,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,logistic_regression,loso,3,3,,200,40,0.575,0.575,0.5767263427109974,0.575,0.5725958516656191
2class,logistic_regression,loso,4,4,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,logistic_regression,loso,5,5,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,logistic_regression,loso,6,6,,200,40,0.55,0.5499999999999999,0.6388888888888888,0.5499999999999999,0.4642857142857143
2class,knn,loso,1,1,,200,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,knn,loso,2,2,,200,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,knn,loso,3,3,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,knn,loso,4,4,,200,40,0.45,0.45,0.44047619047619047,0.45,0.4270833333333333
2class,knn,loso,5,5,,200,40,0.575,0.575,0.5940438871473355,0.575,0.5523370638578011
2class,knn,loso,6,6,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,random_forest,loso,1,1,,200,40,0.575,0.575,0.6714285714285715,0.575,0.5054545454545455
2class,random_forest,loso,2,2,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,random_forest,loso,3,3,,200,40,0.625,0.625,0.6278772378516624,0.625,0.6228786926461345
2class,random_forest,loso,4,4,,200,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,random_forest,loso,5,5,,200,40,0.65,0.65,0.7,0.65,0.6266666666666667
2class,random_forest,loso,6,6,,200,40,0.6,0.6,0.6041666666666667,0.6,0.595959595959596
4class,lda,loso,1,1,,400,80,0.25,0.25,0.27904040404040403,0.25,0.2302072849903773
4class,lda,loso,2,2,,400,80,0.275,0.275,0.297275641025641,0.275,0.27065285496349567
4class,lda,loso,3,3,,400,80,0.3,0.30000000000000004,0.27277722277722277,0.30000000000000004,0.27800782148608233
4class,lda,loso,4,4,,400,80,0.25,0.25,0.20465686274509803,0.25,0.18462085567348724
4class,lda,loso,5,5,,400,80,0.2875,0.28750000000000003,0.3857142857142857,0.28750000000000003,0.20225442834138485
4class,lda,loso,6,6,,400,80,0.275,0.275,0.15987318840579712,0.275,0.19596443228454172
4class,svm,loso,1,1,,400,80,0.25,0.25,0.3116883116883117,0.25,0.12174766813942071
4class,svm,loso,2,2,,400,80,0.2875,0.28750000000000003,0.3362179487179487,0.28750000000000003,0.21400103519668734
4class,svm,loso,3,3,,400,80,0.35,0.35000000000000003,0.3399491375497567,0.35000000000000003,0.32049544854422907
4class,svm,loso,4,4,,400,80,0.275,0.275,0.3233108108108108,0.275,0.23930451127819552
4class,svm,loso,5,5,,400,80,0.2625,0.26249999999999996,0.5503270348837209,0.26249999999999996,0.2329822954822955
4class,svm,loso,6,6,,400,80,0.3,0.3,0.3155531609195402,0.3,0.3025793650793651
4class,logistic_regression,loso,1,1,,400,80,0.2375,0.23750000000000002,0.24703153988868276,0.23750000000000002,0.20708341681693715
4class,logistic_regression,loso,2,2,,400,80,0.1875,0.1875,0.19601449275362318,0.1875,0.15696306429548562
4class,logistic_regression,loso,3,3,,400,80,0.275,0.275,0.2838235294117647,0.275,0.2666872828941794
4class,logistic_regression,loso,4,4,,400,80,0.25,0.25,0.19021739130434784,0.25,0.18087855297157623
4class,logistic_regression,loso,5,5,,400,80,0.2875,0.2875,0.43028846153846156,0.2875,0.23041634835752484
