task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.55,0.55,0.5980392156862745,0.55,0.48717948717948717
2class,lda,loso,2,2,,200,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,lda,loso,3,3,,200,40,0.625,0.625,0.62531328320802,0.625,0.6247654784240151
2class,lda,loso,4,4,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,lda,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,lda,loso,6,6,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,svm,loso,1,1,,200,40,0.475,0.475,0.44285714285714284,0.475,0.3890909090909091
2class,svm,loso,2,2,,200,40,0.525,0.525,0.5266666666666666,0.525,0.5174603174603174
2class,svm,loso,3,3,,200,40,0.625,0.625,0.6424501424501424,0.625,0.6131528046421664
2class,svm,loso,4,4,,200,40,0.525,0.525,0.5432900432900433,0.525,0.4689028651292802
2class,svm,loso,5,5,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,svm,loso,6,6,,200,40,0.6,0.6000000000000001,0.601010101010101,0.6000000000000001,0.5989974937343359
2class,logistic_regression,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,logistic_regression,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.48849104859335035
2class,logistic_regression,loso,3,3,,200,40,0.575,0.575,0.5800000000000001,0.575,0.5682539682539682
2class,logistic_regression,loso,4,4,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,logistic_regression,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.40476190476190477
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,knn,loso,1,1,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,knn,loso,2,2,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,knn,loso,3,3,,200,40,0.575,0.575,0.5854700854700855,0.575,0.5615731785944552
2class,knn,loso,4,4,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,knn,loso,5,5,,200,40,0.575,0.575,0.7702702702702703,0.575,0.4813119755911518
2class,knn,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,random_forest,loso,1,1,,200,40,0.45,0.45,0.23684210526315788,0.45,0.3103448275862069
2class,random_forest,loso,2,2,,200,40,0.55,0.55,0.763157894736842,0.55,0.4357366771159875
2class,random_forest,loso,3,3,,200,40,0.6,0.6,0.6098901098901099,0.6,0.5907928388746804
2class,random_forest,loso,4,4,,200,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,random_forest,loso,5,5,,200,40,0.675,0.675,0.7508960573476702,0.675,0.6484110885733604
2class,random_forest,loso,6,6,,200,40,0.55,0.55,0.55,0.55,0.55
4class,lda,loso,1,1,,400,80,0.2375,0.2375,0.2781914893617021,0.2375,0.21705742122719734
4class,lda,loso,2,2,,400,80,0.25,0.25,0.27128427128427124,0.25,0.22400844180343332
4class,lda,loso,3,3,,400,80,0.3,0.30000000000000004,0.2965593434343434,0.30000000000000004,0.28654175832119877
4class,lda,loso,4,4,,400,80,0.2375,0.2375,0.21031746031746032,0.2375,0.16490000924413767
4class,lda,loso,5,5,,400,80,0.275,0.275,0.40375586854460094,0.275,0.15543876413441632
4class,lda,loso,6,6,,400,80,0.275,0.275,0.23222537878787883,0.275,0.2425411841742487
4class,svm,loso,1,1,,400,80,0.25,0.25,0.12756849315068491,0.25,0.12298387096774194
4class,svm,loso,2,2,,400,80,0.2625,0.2625,0.2893939393939394,0.2625,0.17980710896787744
4class,svm,loso,3,3,,400,80,0.325,0.325,0.3455224514048043,0.325,0.2987632794084407
4class,svm,loso,4,4,,400,80,0.3125,0.3125,0.32910628019323673,0.3125,0.281972687400319
4class,svm,loso,5,5,,400,80,0.2125,0.21250000000000002,0.16964285714285715,0.21250000000000002,0.15885416666666666
4class,svm,loso,6,6,,400,80,0.25,0.25,0.232272990167727,0.25,0.22450970247580415
4class,logistic_regression,loso,1,1,,400,80,0.2625,0.26249999999999996,0.31085359675785207,0.26249999999999996,0.22790880094302007
4class,logistic_regression,loso,2,2,,400,80,0.2875,0.2875,0.30014720942140294,0.2875,0.2556456343221049
4class,logistic_regression,loso,3,3,,400,80,0.3375,0.3375,0.3965149359886202,0.3375,0.3372614227877386
4class,logistic_regression,loso,4,4,,400,80,0.225,0.225,0.16522366522366522,0.225,0.1589584143023708
