task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,loso,6,0.4375,0.4375,0.4365079365079365,0.4375,0.43529411764705883,0.43750000000000006,0.06884463184107628,0.4375,0.06884463184107628,0.4346682957126405,0.07741486510186464,0.4375,0.06884463184107628,0.4084580168080183,0.055693438266352806
2class,svm,loso,6,0.5166666666666667,0.5166666666666666,0.5172463351537798,0.5166666666666666,0.5125709083269137,0.5166666666666667,0.04930066485916347,0.5166666666666667,0.04930066485916351,0.522663139329806,0.06141527992335594,0.5166666666666667,0.04930066485916351,0.48477698847318473,0.05810518721607141
2class,logistic_regression,loso,6,0.4708333333333333,0.4708333333333333,0.47083130772970344,0.4708333333333333,0.4708241462525391,0.4708333333333334,0.06984606089266755,0.4708333333333334,0.06984606089266755,0.47569418337510444,0.0760228346200882,0.4708333333333334,0.06984606089266755,0.45018656362259274,0.06023040719427676
2class,knn,loso,6,0.5458333333333333,0.5458333333333333,0.5525854513584575,0.5458333333333333,0.5307707485067532,0.5458333333333333,0.056672793786397675,0.5458333333333333,0.056672793786397675,0.5570958034950497,0.06628628181629846,0.5458333333333333,0.056672793786397675,0.5217278575375287,0.06496580442400188
2class,random_forest,loso,6,0.5,0.5,0.5,0.5,0.4949494949494949,0.5,0.04082482904638629,0.5,0.040824829046386284,0.49409209398332915,0.05055386725051219,0.5,0.040824829046386284,0.46578281861524756,0.05817662271959362
4class,lda,loso,6,0.25416666666666665,0.25416666666666665,0.25019872737600046,0.25416666666666665,0.24461025466672107,0.2541666666666667,0.02124591463996995,0.2541666666666667,0.02124591463996994,0.231928078584531,0.04373080763663029,0.2541666666666667,0.02124591463996994,0.21453893839028407,0.04182566136319829
4class,svm,loso,6,0.2791666666666667,0.2791666666666667,0.29387861757562356,0.2791666666666667,0.2733415105931165,0.2791666666666666,0.037960139913101244,0.27916666666666673,0.037960139913101244,0.26007126174667466,0.10309194895942132,0.27916666666666673,0.037960139913101244,0.2242101213429685,0.06271961751257163
4class,logistic_regression,loso,6,0.24791666666666667,0.24791666666666665,0.24140106719774357,0.24791666666666665,0.2364391308655047,0.24791666666666667,0.07049551798203595,0.24791666666666667,0.07049551798203595,0.23821343175444232,0.10497028775271422,0.24791666666666667,0.07049551798203595,0.21653000980515058,0.08724957780129408
4class,knn,loso,6,0.27708333333333335,0.27708333333333335,0.2790400663491108,0.27708333333333335,0.27054304621105696,0.2770833333333333,0.06471760236253779,0.2770833333333333,0.06471760236253776,0.27010736591609785,0.08462711524003574,0.2770833333333333,0.06471760236253776,0.2594023552253537,0.08138900415871343
4class,random_forest,loso,6,0.25416666666666665,0.25416666666666665,0.25936042219549293,0.25416666666666665,0.24625972004133648,0.25416666666666665,0.030333791205335497,0.25416666666666665,0.030333791205335484,0.2290599595840068,0.06353257310275935,0.25416666666666665,0.030333791205335484,0.21079527448105514,0.04728573964541686
6class,lda,loso,6,0.20277777777777778,0.2027777777777778,0.20123834252394232,0.2027777777777778,0.20113919065795624,0.20277777777777775,0.01842569327975222,0.20277777777777775,0.01842569327975222,0.23218082511780325,0.020138592342128867,0.20277777777777775,0.01842569327975222,0.18603872449715628,0.023993164360079238
6class,svm,loso,6,0.175,0.17500000000000002,0.17556172396264558,0.17500000000000002,0.17066273066810447,0.17500000000000002,0.037883838047182934,0.17500000000000002,0.03788383804718293,0.16264715155096318,0.061878530452691656,0.17500000000000002,0.03788383804718293,0.14668431898761727,0.04789296405602068
6class,logistic_regression,loso,6,0.17222222222222222,0.1722222222222222,0.171669656430526,0.1722222222222222,0.1710863175241234,0.1722222222222222,0.03142696805273545,0.17222222222222225,0.03142696805273545,0.18479185764400796,0.04577748971154746,0.17222222222222225,0.03142696805273545,0.15856383746345645,0.024460230334167075
6class,knn,loso,6,0.16805555555555557,0.16805555555555554,0.16889219280540593,0.16805555555555554,0.16549906872883682,0.16805555555555554,0.03170197836253702,0.16805555555555554,0.03170197836253701,0.15286706968343988,0.03516034141558485,0.16805555555555554,0.03170197836253701,0.15195729975681066,0.02916235028258218
6class,random_forest,loso,6,0.17083333333333334,0.17083333333333336,0.1715564479657036,0.17083333333333336,0.16512792406274393,0.1708333333333333,0.02836191368980853,0.1708333333333333,0.02836191368980852,0.19845172067446118,0.06644166058595952,0.1708333333333333,0.02836191368980852,0.13641054474937908,0.03290040180079064
