task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,within_subject_5fold,30,0.5416666666666666,0.5416666666666666,0.5420875420875421,0.5416666666666666,0.5405179615705932,0.5416666666666666,0.1559023911155809,0.5416666666666666,0.1559023911155809,0.5432539682539682,0.18960423767367268,0.5416666666666666,0.1559023911155809,0.5202236652236653,0.16596708154635062
2class,svm,within_subject_5fold,30,0.4708333333333333,0.4708333333333333,0.47078260869565214,0.4708333333333333,0.47060356057316544,0.4708333333333333,0.1635648868865877,0.4708333333333333,0.1635648868865877,0.4593650793650793,0.19699838788023732,0.4708333333333333,0.1635648868865877,0.44929773929773925,0.17292502665981202
2class,logistic_regression,within_subject_5fold,30,0.55,0.55,0.5503496503496503,0.55,0.5492173913043479,0.55,0.1567907310185565,0.55,0.1567907310185565,0.5375396825396824,0.18379830064154587,0.55,0.1567907310185565,0.5316378066378067,0.17138901363420073
2class,knn,within_subject_5fold,30,0.5208333333333334,0.5208333333333334,0.521260009921338,0.5208333333333334,0.5184170578074018,0.5208333333333334,0.1799401906807432,0.5208333333333334,0.1799401906807432,0.5234126984126984,0.21010748727885065,0.5208333333333334,0.1799401906807432,0.5011952861952862,0.18786560209506992
2class,random_forest,within_subject_5fold,30,0.5708333333333333,0.5708333333333333,0.5708382526564344,0.5708333333333333,0.5708258823937915,0.5708333333333333,0.13572081229085275,0.5708333333333333,0.13572081229085275,0.5677777777777777,0.1699570144103841,0.5708333333333333,0.13572081229085275,0.5502861952861954,0.14990627682745447
4class,lda,within_subject_5fold,30,0.29791666666666666,0.2979166666666666,0.29939809118053073,0.2979166666666666,0.2985557078748679,0.29791666666666666,0.12256305066735607,0.29791666666666666,0.12256305066735607,0.3100892857142857,0.154162134325422,0.29791666666666666,0.12256305066735607,0.2841269378769378,0.12038939689136052
4class,svm,within_subject_5fold,30,0.3020833333333333,0.3020833333333333,0.3003296209424943,0.3020833333333333,0.30083643840186264,0.3020833333333333,0.11305802959345945,0.3020833333333333,0.11305802959345945,0.3151884920634921,0.15507128118857016,0.3020833333333333,0.11305802959345945,0.2863737188737189,0.1237903036087881
4class,logistic_regression,within_subject_5fold,30,0.3145833333333333,0.3145833333333333,0.3165355498786951,0.3145833333333333,0.3151495536785613,0.3145833333333333,0.10883298238840813,0.3145833333333333,0.10883298238840813,0.3148412698412698,0.1413401334953478,0.3145833333333333,0.10883298238840813,0.29806277056277053,0.11222108015337959
4class,knn,within_subject_5fold,30,0.2708333333333333,0.2708333333333333,0.270135929236617,0.2708333333333333,0.26916937243901573,0.2708333333333333,0.11102427162061856,0.2708333333333333,0.11102427162061856,0.27026785714285706,0.1553195719865413,0.2708333333333333,0.11102427162061856,0.2520363432863433,0.11627053056087626
4class,random_forest,within_subject_5fold,30,0.30625,0.30624999999999997,0.30189287579992163,0.30624999999999997,0.30354201816257687,0.30625,0.11896909612724363,0.30625,0.11896909612724363,0.31167989417989417,0.1542967672949736,0.30625,0.11896909612724363,0.28892621267621266,0.11860486246868894
6class,lda,within_subject_5fold,30,0.23472222222222222,0.23472222222222225,0.2358556356036541,0.23472222222222225,0.23488850070744405,0.23472222222222222,0.11256856621084516,0.23472222222222222,0.11256856621084516,0.23053130511463846,0.11681653656582372,0.23472222222222222,0.11256856621084516,0.21890778974112307,0.10632032018070046
6class,svm,within_subject_5fold,30,0.20833333333333334,0.20833333333333334,0.21039847814402968,0.20833333333333334,0.20888598713837928,0.20833333333333331,0.10540925533894598,0.20833333333333331,0.10540925533894598,0.2144753086419753,0.11783561183013733,0.20833333333333331,0.10540925533894598,0.19806702556702557,0.10315763439152129
6class,logistic_regression,within_subject_5fold,30,0.23333333333333334,0.23333333333333336,0.2350063238851141,0.23333333333333336,0.23352181170021138,0.23333333333333334,0.10844011831079521,0.23333333333333334,0.10844011831079521,0.2297514830848164,0.11148007313630542,0.23333333333333334,0.10844011831079521,0.2172996447996448,0.10305697412408611
6class,knn,within_subject_5fold,30,0.20972222222222223,0.20972222222222223,0.21175818684051392,0.20972222222222223,0.2099417673767162,0.20972222222222223,0.0808543309879327,0.20972222222222223,0.0808543309879327,0.19686660561660563,0.08202175658487385,0.20972222222222223,0.0808543309879327,0.19334740241602982,0.0779240705112587
6class,random_forest,within_subject_5fold,30,0.2569444444444444,0.2569444444444445,0.2533134412284303,0.2569444444444445,0.2542778019713133,0.2569444444444444,0.13135834740167357,0.2569444444444444,0.13135834740167357,0.24991682700016032,0.13314209606851266,0.2569444444444444,0.13135834740167357,0.23924128340795012,0.12601719522726257
