task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
4class,lda,within_subject_5fold,11,3,1,64,16,0.6875,0.6875,0.7916666666666666,0.6875,0.6904761904761905
4class,lda,within_subject_5fold,12,3,2,64,16,0.375,0.375,0.35833333333333334,0.375,0.363095238095238
4class,lda,within_subject_5fold,13,3,3,64,16,0.3125,0.3125,0.3416666666666667,0.3125,0.3198412698412698
4class,lda,within_subject_5fold,14,3,4,64,16,0.4375,0.4375,0.43333333333333335,0.4375,0.43253968253968256
4class,lda,within_subject_5fold,15,3,5,64,16,0.1875,0.1875,0.1875,0.1875,0.1875
4class,lda,within_subject_5fold,16,4,1,64,16,0.3125,0.3125,0.2625,0.3125,0.2847222222222222
4class,lda,within_subject_5fold,17,4,2,64,16,0.375,0.375,0.375,0.375,0.3678571428571429
4class,lda,within_subject_5fold,18,4,3,64,16,0.5625,0.5625,0.6041666666666666,0.5625,0.5696428571428571
4class,lda,within_subject_5fold,19,4,4,64,16,0.125,0.125,0.1125,0.125,0.11805555555555555
4class,lda,within_subject_5fold,20,4,5,64,16,0.3125,0.3125,0.2708333333333333,0.3125,0.2839285714285714
4class,lda,within_subject_5fold,21,5,1,64,16,0.25,0.25,0.21250000000000002,0.25,0.22916666666666666
4class,lda,within_subject_5fold,22,5,2,64,16,0.4375,0.4375,0.5104166666666666,0.4375,0.43452380952380953
4class,lda,within_subject_5fold,23,5,3,64,16,0.25,0.25,0.2583333333333333,0.25,0.2388888888888889
4class,lda,within_subject_5fold,24,5,4,64,16,0.375,0.375,0.39999999999999997,0.375,0.38095238095238093
4class,lda,within_subject_5fold,25,5,5,64,16,0.25,0.25,0.18392857142857144,0.25,0.20896464646464646
4class,lda,within_subject_5fold,26,6,1,64,16,0.375,0.375,0.375,0.375,0.35416666666666663
4class,lda,within_subject_5fold,27,6,2,64,16,0.25,0.25,0.1958333333333333,0.25,0.21805555555555556
4class,lda,within_subject_5fold,28,6,3,64,16,0.4375,0.4375,0.56875,0.4375,0.41944444444444445
4class,lda,within_subject_5fold,29,6,4,64,16,0.125,0.125,0.05555555555555555,0.125,0.07692307692307693
4class,lda,within_subject_5fold,30,6,5,64,16,0.25,0.25,0.3541666666666667,0.25,0.23333333333333334
4class,svm,within_subject_5fold,1,1,1,64,16,0.3125,0.3125,0.37499999999999994,0.3125,0.32619047619047614
4class,svm,within_subject_5fold,2,1,2,64,16,0.25,0.25,0.2222222222222222,0.25,0.21978021978021978
4class,svm,within_subject_5fold,3,1,3,64,16,0.125,0.125,0.125,0.125,0.125
4class,svm,within_subject_5fold,4,1,4,64,16,0.1875,0.1875,0.175,0.1875,0.17698412698412697
4class,svm,within_subject_5fold,5,1,5,64,16,0.1875,0.1875,0.23958333333333331,0.1875,0.19642857142857142
4class,svm,within_subject_5fold,6,2,1,64,16,0.4375,0.4375,0.43333333333333335,0.4375,0.41587301587301584
4class,svm,within_subject_5fold,7,2,2,64,16,0.1875,0.1875,0.2232142857142857,0.1875,0.19128787878787878
4class,svm,within_subject_5fold,8,2,3,64,16,0.1875,0.1875,0.16666666666666666,0.1875,0.17142857142857143
4class,svm,within_subject_5fold,9,2,4,64,16,0.375,0.375,0.3958333333333333,0.375,0.37083333333333335
4class,svm,within_subject_5fold,10,2,5,64,16,0.3125,0.3125,0.19285714285714284,0.3125,0.23737373737373738
4class,svm,within_subject_5fold,11,3,1,64,16,0.5,0.5,0.6,0.5,0.5206349206349206
4class,svm,within_subject_5fold,12,3,2,64,16,0.4375,0.4375,0.4333333333333333,0.4375,0.43253968253968256
4class,svm,within_subject_5fold,13,3,3,64,16,0.3125,0.3125,0.3888888888888889,0.3125,0.315018315018315
4class,svm,within_subject_5fold,14,3,4,64,16,0.5,0.5,0.4958333333333333,0.5,0.49503968253968256
4class,svm,within_subject_5fold,15,3,5,64,16,0.1875,0.1875,0.14166666666666666,0.1875,0.1611111111111111
4class,svm,within_subject_5fold,16,4,1,64,16,0.3125,0.3125,0.31666666666666665,0.3125,0.3
4class,svm,within_subject_5fold,17,4,2,64,16,0.25,0.25,0.3333333333333333,0.25,0.27976190476190477
4class,svm,within_subject_5fold,18,4,3,64,16,0.4375,0.4375,0.45833333333333326,0.4375,0.4392857142857143
4class,svm,within_subject_5fold,19,4,4,64,16,0.0,0.0,0.0,0.0,0.0
4class,svm,within_subject_5fold,20,4,5,64,16,0.3125,0.3125,0.21666666666666667,0.3125,0.25555555555555554
4class,svm,within_subject_5fold,21,5,1,64,16,0.1875,0.1875,0.1625,0.1875,0.1736111111111111
4class,svm,within_subject_5fold,22,5,2,64,16,0.4375,0.4375,0.425,0.4375,0.4103174603174603
4class,svm,within_subject_5fold,23,5,3,64,16,0.25,0.25,0.19642857142857142,0.25,0.21233766233766233
4class,svm,within_subject_5fold,24,5,4,64,16,0.3125,0.3125,0.275,0.3125,0.29166666666666663
4class,svm,within_subject_5fold,25,5,5,64,16,0.375,0.375,0.3875,0.375,0.3680555555555556
4class,svm,within_subject_5fold,26,6,1,64,16,0.3125,0.3125,0.2638888888888889,0.3125,0.2733516483516484
4class,svm,within_subject_5fold,27,6,2,64,16,0.375,0.375,0.37499999999999994,0.375,0.3678571428571429
4class,svm,within_subject_5fold,28,6,3,64,16,0.3125,0.3125,0.2708333333333333,0.3125,0.27976190476190477
4class,svm,within_subject_5fold,29,6,4,64,16,0.25,0.25,0.17142857142857143,0.25,0.20202020202020202
4class,svm,within_subject_5fold,30,6,5,64,16,0.1875,0.1875,0.369047619047619,0.1875,0.21688311688311687
4class,logistic_regression,within_subject_5fold,1,1,1,64,16,0.375,0.375,0.48214285714285715,0.375,0.36136363636363633
4class,logistic_regression,within_subject_5fold,2,1,2,64,16,0.4375,0.4375,0.4714285714285714,0.4375,0.42424242424242425
4class,logistic_regression,within_subject_5fold,3,1,3,64,16,0.25,0.25,0.24583333333333335,0.25,0.24503968253968253
4class,logistic_regression,within_subject_5fold,4,1,4,64,16,0.1875,0.1875,0.1625,0.1875,0.1736111111111111
4class,logistic_regression,within_subject_5fold,5,1,5,64,16,0.1875,0.1875,0.20238095238095238,0.1875,0.18831168831168832
4class,logistic_regression,within_subject_5fold,6,2,1,64,16,0.25,0.25,0.2583333333333333,0.25,0.251984126984127
4class,logistic_regression,within_subject_5fold,7,2,2,64,16,0.0625,0.0625,0.05,0.0625,0.05555555555555555
4class,logistic_regression,within_subject_5fold,8,2,3,64,16,0.1875,0.1875,0.18154761904761904,0.1875,0.17938311688311687
4class,logistic_regression,within_subject_5fold,9,2,4,64,16,0.375,0.375,0.5,0.375,0.37777777777777777
4class,logistic_regression,within_subject_5fold,10,2,5,64,16,0.5,0.5,0.41369047619047616,0.5,0.4407467532467533
4class,logistic_regression,within_subject_5fold,11,3,1,64,16,0.6875,0.6875,0.7261904761904762,0.6875,0.6818181818181819
4class,logistic_regression,within_subject_5fold,12,3,2,64,16,0.4375,0.4375,0.34047619047619043,0.4375,0.3744588744588744
4class,logistic_regression,within_subject_5fold,13,3,3,64,16,0.3125,0.3125,0.2875,0.3125,0.2986111111111111
4class,logistic_regression,within_subject_5fold,14,3,4,64,16,0.4375,0.4375,0.43333333333333335,0.4375,0.43253968253968256
4class,logistic_regression,within_subject_5fold,15,3,5,64,16,0.25,0.25,0.2583333333333333,0.25,0.251984126984127
4class,logistic_regression,within_subject_5fold,16,4,1,64,16,0.375,0.375,0.31666666666666665,0.375,0.3380952380952381
4class,logistic_regression,within_subject_5fold,17,4,2,64,16,0.375,0.375,0.39166666666666666,0.375,0.37896825396825395
4class,logistic_regression,within_subject_5fold,18,4,3,64,16,0.6875,0.6875,0.7083333333333333,0.6875,0.6821428571428572
4class,logistic_regression,within_subject_5fold,19,4,4,64,16,0.1875,0.1875,0.1625,0.1875,0.1736111111111111
4class,logistic_regression,within_subject_5fold,20,4,5,64,16,0.3125,0.3125,0.30833333333333335,0.3125,0.30753968253968256
4class,logistic_regression,within_subject_5fold,21,5,1,64,16,0.25,0.25,0.21666666666666667,0.25,0.22698412698412698
4class,logistic_regression,within_subject_5fold,22,5,2,64,16,0.5625,0.5625,0.5803571428571428,0.5625,0.5419372294372294
4class,logistic_regression,within_subject_5fold,23,5,3,64,16,0.375,0.375,0.38749999999999996,0.375,0.3680555555555555
4class,logistic_regression,within_subject_5fold,24,5,4,64,16,0.375,0.375,0.5380952380952381,0.375,0.3893217893217893
4class,logistic_regression,within_subject_5fold,25,5,5,64,16,0.1875,0.1875,0.14166666666666666,0.1875,0.1611111111111111
4class,logistic_regression,within_subject_5fold,26,6,1,64,16,0.25,0.25,0.2648809523809524,0.25,0.2508116883116883
4class,logistic_regression,within_subject_5fold,27,6,2,64,16,0.25,0.25,0.20833333333333331,0.25,0.225
4class,logistic_regression,within_subject_5fold,28,6,3,64,16,0.5,0.5,0.5654761904761905,0.5,0.49945887445887444
4class,logistic_regression,within_subject_5fold,29,6,4,64,16,0.125,0.125,0.09821428571428571,0.125,0.10795454545454546
4class,logistic_regression,within_subject_5fold,30,6,5,64,16,0.25,0.25,0.3541666666666667,0.25,0.23333333333333334
4class,knn,within_subject_5fold,1,1,1,64,16,0.1875,0.1875,0.21666666666666667,0.1875,0.1984126984126984
4class,knn,within_subject_5fold,2,1,2,64,16,0.5,0.5,0.5,0.5,0.4583333333333333
4class,knn,within_subject_5fold,3,1,3,64,16,0.1875,0.1875,0.244047619047619,0.1875,0.20021645021645024
4class,knn,within_subject_5fold,4,1,4,64,16,0.25,0.25,0.17708333333333331,0.25,0.19642857142857142
4class,knn,within_subject_5fold,5,1,5,64,16,0.25,0.25,0.2708333333333333,0.25,0.25535714285714284
4class,knn,within_subject_5fold,6,2,1,64,16,0.375,0.375,0.37083333333333335,0.375,0.37003968253968256
4class,knn,within_subject_5fold,7,2,2,64,16,0.3125,0.3125,0.2583333333333333,0.3125,0.28055555555555556
4class,knn,within_subject_5fold,8,2,3,64,16,0.25,0.25,0.21666666666666667,0.25,0.22698412698412698
4class,knn,within_subject_5fold,9,2,4,64,16,0.3125,0.3125,0.3416666666666667,0.3125,0.3234126984126984
4class,knn,within_subject_5fold,10,2,5,64,16,0.4375,0.4375,0.4375,0.4375,0.4236111111111111
4class,knn,within_subject_5fold,11,3,1,64,16,0.1875,0.1875,0.10714285714285714,0.1875,0.13636363636363635
4class,knn,within_subject_5fold,12,3,2,64,16,0.375,0.375,0.37797619047619047,0.375,0.35362554112554107
4class,knn,within_subject_5fold,13,3,3,64,16,0.25,0.25,0.2777777777777778,0.25,0.2467948717948718
