task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
4class,random_forest,loso,1,1,,400,80,0.2375,0.23750000000000002,0.20654761904761904,0.23750000000000002,0.13701690821256038
4class,random_forest,loso,2,2,,400,80,0.2875,0.2875,0.376453488372093,0.2875,0.25888046132611353
4class,random_forest,loso,3,3,,400,80,0.2625,0.26249999999999996,0.2644798136645963,0.26249999999999996,0.2511241494483628
4class,random_forest,loso,4,4,,400,80,0.3,0.30000000000000004,0.2909090909090909,0.30000000000000004,0.2557291666666667
4class,random_forest,loso,5,5,,400,80,0.375,0.375,0.36044657097288674,0.375,0.35046627629581434
4class,random_forest,loso,6,6,,400,80,0.2125,0.21250000000000002,0.10508474576271187,0.21250000000000002,0.1322784810126582
6class,lda,loso,1,1,,600,120,0.175,0.17500000000000002,0.1897440196735971,0.17500000000000002,0.14260875290287056
6class,lda,loso,2,2,,600,120,0.175,0.17500000000000002,0.0842830009496676,0.17500000000000002,0.09932379107475964
6class,lda,loso,3,3,,600,120,0.23333333333333334,0.2333333333333333,0.30992063492063493,0.2333333333333333,0.23225991171081128
6class,lda,loso,4,4,,600,120,0.175,0.17500000000000002,0.11200797070362288,0.17500000000000002,0.1299207893322393
6class,lda,loso,5,5,,600,120,0.24166666666666667,0.2416666666666666,0.24813683048977164,0.2416666666666666,0.21967681967681965
6class,lda,loso,6,6,,600,120,0.175,0.17500000000000002,0.14533819938231704,0.17500000000000002,0.1540750496258971
6class,svm,loso,1,1,,600,120,0.13333333333333333,0.13333333333333333,0.09499007936507935,0.13333333333333333,0.07442727557670087
6class,svm,loso,2,2,,600,120,0.175,0.17500000000000002,0.1115196852050586,0.17500000000000002,0.12112586970271981
6class,svm,loso,3,3,,600,120,0.13333333333333333,0.13333333333333333,0.11859737484737486,0.13333333333333333,0.11136598270744612
6class,svm,loso,4,4,,600,120,0.13333333333333333,0.13333333333333333,0.17119565217391305,0.13333333333333333,0.10767237593324551
6class,svm,loso,5,5,,600,120,0.2,0.20000000000000004,0.21766448959845186,0.20000000000000004,0.17641612903673654
6class,svm,loso,6,6,,600,120,0.19166666666666668,0.19166666666666668,0.15362737544940935,0.19166666666666668,0.13284885473176614
6class,logistic_regression,loso,1,1,,600,120,0.16666666666666666,0.16666666666666666,0.19261066462558998,0.16666666666666666,0.13323073311828934
6class,logistic_regression,loso,2,2,,600,120,0.19166666666666668,0.19166666666666665,0.10801338579116355,0.19166666666666665,0.11759956483453222
6class,logistic_regression,loso,3,3,,600,120,0.24166666666666667,0.2416666666666667,0.2887205387205387,0.2416666666666667,0.24942978773031152
6class,logistic_regression,loso,4,4,,600,120,0.19166666666666668,0.19166666666666668,0.12086894586894588,0.19166666666666668,0.14363851727982166
6class,logistic_regression,loso,5,5,,600,120,0.23333333333333334,0.23333333333333336,0.20467735874837736,0.23333333333333336,0.20110324081715922
6class,logistic_regression,loso,6,6,,600,120,0.20833333333333334,0.20833333333333334,0.20217803030303028,0.20833333333333334,0.19315877861746436
6class,knn,loso,1,1,,600,120,0.16666666666666666,0.16666666666666666,0.11170212765957448,0.16666666666666666,0.09345029239766083
6class,knn,loso,2,2,,600,120,0.175,0.17500000000000002,0.11168981481481481,0.17500000000000002,0.12980769230769232
6class,knn,loso,3,3,,600,120,0.15833333333333333,0.15833333333333333,0.1549371680950628,0.15833333333333333,0.15522251079669064
6class,knn,loso,4,4,,600,120,0.19166666666666668,0.19166666666666668,0.19305555555555556,0.19166666666666668,0.18510401635401638
6class,knn,loso,5,5,,600,120,0.175,0.17500000000000002,0.17663342220466738,0.17500000000000002,0.16135801792252255
6class,knn,loso,6,6,,600,120,0.19166666666666668,0.19166666666666665,0.14149412570465203,0.19166666666666665,0.15848362164151636
6class,random_forest,loso,1,1,,600,120,0.13333333333333333,0.13333333333333333,0.06946555217831814,0.13333333333333333,0.06518611343172746
6class,random_forest,loso,2,2,,600,120,0.19166666666666668,0.19166666666666668,0.2156122448979592,0.19166666666666668,0.15614614853745287
6class,random_forest,loso,3,3,,600,120,0.14166666666666666,0.14166666666666666,0.13545234958278438,0.14166666666666666,0.13176350732296324
6class,random_forest,loso,4,4,,600,120,0.2,0.19999999999999998,0.1769163763066202,0.19999999999999998,0.14531590413943354
6class,random_forest,loso,5,5,,600,120,0.20833333333333334,0.20833333333333334,0.2206303369229066,0.20833333333333334,0.19424868903518355
6class,random_forest,loso,6,6,,600,120,0.2,0.19999999999999998,0.15993867243867244,0.19999999999999998,0.15667326919449162
