task,classifier,validation_strategy,subject_id,sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
4class,knn,within_subject_5fold,5,80,0.3375,0.3375,0.3326769721506564,0.3375,0.32303105699332113
4class,knn,within_subject_5fold,6,80,0.2125,0.21250000000000002,0.1855471220746363,0.21250000000000002,0.19340601105306987
4class,random_forest,within_subject_5fold,1,80,0.25,0.25,0.256217750257998,0.25,0.2521766521766522
4class,random_forest,within_subject_5fold,2,80,0.4125,0.4125,0.4247252747252747,0.4125,0.4137754247761503
4class,random_forest,within_subject_5fold,3,80,0.3875,0.3875,0.3797504578754579,0.3875,0.3776576506755535
4class,random_forest,within_subject_5fold,4,80,0.3875,0.38749999999999996,0.3713574016563147,0.38749999999999996,0.378152769899792
4class,random_forest,within_subject_5fold,5,80,0.3125,0.3125,0.31666666666666665,0.3125,0.31287878787878787
4class,random_forest,within_subject_5fold,6,80,0.325,0.325,0.323041799064817,0.325,0.3227927612872533
6class,lda,within_subject_5fold,1,120,0.18333333333333332,0.18333333333333335,0.18557397374154339,0.18333333333333335,0.1819856293540504
6class,lda,within_subject_5fold,2,120,0.26666666666666666,0.26666666666666666,0.28949236150323104,0.26666666666666666,0.27450247469955397
6class,lda,within_subject_5fold,3,120,0.30833333333333335,0.30833333333333335,0.3182120195558329,0.30833333333333335,0.3098717455860313
6class,lda,within_subject_5fold,4,120,0.24166666666666667,0.24166666666666667,0.24231828991217874,0.24166666666666667,0.24151931768210833
6class,lda,within_subject_5fold,5,120,0.3,0.3,0.312724597597786,0.3,0.29913677245927406
6class,lda,within_subject_5fold,6,120,0.2833333333333333,0.2833333333333333,0.31390397184514834,0.2833333333333333,0.2956022792979315
6class,svm,within_subject_5fold,1,120,0.18333333333333332,0.18333333333333335,0.1600848385331144,0.18333333333333335,0.17011855740078738
6class,svm,within_subject_5fold,2,120,0.21666666666666667,0.21666666666666665,0.21666392182696534,0.21666666666666665,0.2153915149631184
6class,svm,within_subject_5fold,3,120,0.3333333333333333,0.3333333333333333,0.3432150638032991,0.3333333333333333,0.33502069830696274
6class,svm,within_subject_5fold,4,120,0.225,0.225,0.2314507533200818,0.225,0.22616863341235247
6class,svm,within_subject_5fold,5,120,0.26666666666666666,0.26666666666666666,0.2716416617151911,0.26666666666666666,0.2674761227392806
6class,svm,within_subject_5fold,6,120,0.225,0.22499999999999998,0.2417770092226614,0.22499999999999998,0.23024305329366887
6class,logistic_regression,within_subject_5fold,1,120,0.2,0.19999999999999998,0.19478785103785104,0.19999999999999998,0.19436871176838807
