task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.4949494949494949
2class,lda,loso,2,2,,200,40,0.4,0.4,0.39583333333333337,0.4,0.3939393939393939
2class,lda,loso,3,3,,200,40,0.4,0.4,0.398989898989899,0.4,0.39849624060150374
2class,lda,loso,4,4,,200,40,0.475,0.475,0.47150997150997154,0.475,0.4584139264990329
2class,lda,loso,5,5,,200,40,0.575,0.575,0.6298701298701299,0.575,0.5248078266946191
2class,lda,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,1,1,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,svm,loso,2,2,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,svm,loso,3,3,,200,40,0.6,0.6,0.6,0.6,0.6
2class,svm,loso,4,4,,200,40,0.4,0.4,0.38095238095238093,0.4,0.375
2class,svm,loso,5,5,,200,40,0.55,0.55,0.5980392156862745,0.55,0.48717948717948717
2class,svm,loso,6,6,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,logistic_regression,loso,1,1,,200,40,0.525,0.525,0.5313479623824451,0.525,0.49967083607636603
2class,logistic_regression,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.48849104859335035
2class,logistic_regression,loso,3,3,,200,40,0.45,0.45,0.4494949494949495,0.45,0.44862155388471175
2class,logistic_regression,loso,4,4,,200,40,0.525,0.5249999999999999,0.5284900284900285,0.5249999999999999,0.5099935525467441
2class,logistic_regression,loso,5,5,,200,40,0.575,0.575,0.60752688172043,0.575,0.5402298850574713
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,knn,loso,1,1,,200,40,0.55,0.55,0.5595238095238095,0.55,0.53125
2class,knn,loso,2,2,,200,40,0.375,0.375,0.3575498575498576,0.375,0.3552546744036106
2class,knn,loso,3,3,,200,40,0.55,0.55,0.55,0.55,0.55
2class,knn,loso,4,4,,200,40,0.55,0.55,0.5505050505050505,0.55,0.5488721804511278
2class,knn,loso,5,5,,200,40,0.425,0.425,0.4145299145299145,0.425,0.40683430045132174
2class,knn,loso,6,6,,200,40,0.55,0.55,0.5980392156862745,0.55,0.48717948717948717
2class,random_forest,loso,1,1,,200,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,random_forest,loso,2,2,,200,40,0.475,0.47500000000000003,0.40990990990990994,0.47500000000000003,0.3592677345537757
2class,random_forest,loso,3,3,,200,40,0.575,0.575,0.5854700854700855,0.575,0.5615731785944552
2class,random_forest,loso,4,4,,200,40,0.575,0.575,0.6298701298701299,0.575,0.5248078266946191
2class,random_forest,loso,5,5,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,random_forest,loso,6,6,,200,40,0.575,0.575,0.7702702702702703,0.575,0.4813119755911518
4class,lda,loso,1,1,,400,80,0.2875,0.2875,0.2822577276524645,0.2875,0.28078489492963177
4class,lda,loso,2,2,,400,80,0.2125,0.2125,0.16331053698074974,0.2125,0.17028235347651982
4class,lda,loso,3,3,,400,80,0.225,0.22500000000000003,0.21999999999999997,0.22500000000000003,0.20722222222222222
4class,lda,loso,4,4,,400,80,0.2625,0.2625,0.15836940836940838,0.2625,0.16692576758647493
4class,lda,loso,5,5,,400,80,0.3,0.3,0.30713032581453636,0.3,0.26427913494233274
4class,lda,loso,6,6,,400,80,0.275,0.275,0.21273388773388774,0.275,0.22955342902711323
4class,svm,loso,1,1,,400,80,0.2125,0.2125,0.17289915966386554,0.2125,0.13658249158249158
4class,svm,loso,2,2,,400,80,0.3,0.3,0.24550585284280937,0.3,0.24230660643704122
4class,svm,loso,3,3,,400,80,0.275,0.275,0.2560225392886683,0.275,0.25467360857386434
4class,svm,loso,4,4,,400,80,0.2,0.2,0.0821256038647343,0.2,0.10151104223169313
4class,svm,loso,5,5,,400,80,0.3,0.3,0.2694444444444445,0.3,0.18869565217391304
4class,svm,loso,6,6,,400,80,0.2875,0.28750000000000003,0.20723684210526316,0.28750000000000003,0.21048850574712644
4class,logistic_regression,loso,1,1,,400,80,0.35,0.35,0.5607592838196287,0.35,0.2890859140859141
4class,logistic_regression,loso,2,2,,400,80,0.1875,0.18749999999999997,0.19558161102278748,0.18749999999999997,0.1771320192372824
4class,logistic_regression,loso,3,3,,400,80,0.275,0.275,0.27352864920923,0.275,0.2527309000523286
4class,logistic_regression,loso,4,4,,400,80,0.225,0.225,0.16602160941783584,0.225,0.1668885358068164
4class,logistic_regression,loso,5,5,,400,80,0.3375,0.3375,0.338235294117647,0.3375,0.298355556699824
4class,logistic_regression,loso,6,6,,400,80,0.2625,0.2625,0.18318713450292395,0.2625,0.19290766704559809
4class,knn,loso,1,1,,400,80,0.2125,0.21250000000000002,0.25876623376623376,0.21250000000000002,0.19065058281377067
4class,knn,loso,2,2,,400,80,0.2375,0.2375,0.17580049261083744,0.2375,0.19071239606953894
