task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.48849104859335035
2class,lda,loso,2,2,,200,40,0.45,0.45,0.23684210526315788,0.45,0.3103448275862069
2class,lda,loso,3,3,,200,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,lda,loso,4,4,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,lda,loso,5,5,,200,40,0.625,0.625,0.6792114695340502,0.625,0.5943204868154158
2class,lda,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,svm,loso,2,2,,200,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,svm,loso,3,3,,200,40,0.45,0.45,0.23684210526315788,0.45,0.3103448275862069
2class,svm,loso,4,4,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,svm,loso,5,5,,200,40,0.425,0.425,0.3701298701298701,0.425,0.35709294199860236
2class,svm,loso,6,6,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
2class,logistic_regression,loso,1,1,,200,40,0.55,0.55,0.5595238095238095,0.55,0.53125
2class,logistic_regression,loso,2,2,,200,40,0.45,0.45,0.23684210526315788,0.45,0.3103448275862069
2class,logistic_regression,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,logistic_regression,loso,4,4,,200,40,0.425,0.425,0.3701298701298701,0.425,0.35709294199860236
2class,logistic_regression,loso,5,5,,200,40,0.525,0.525,0.5266666666666666,0.525,0.5174603174603174
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,knn,loso,1,1,,200,40,0.475,0.475,0.46415770609318996,0.475,0.43204868154158216
2class,knn,loso,2,2,,200,40,0.35,0.35,0.3351648351648352,0.35,0.3350383631713555
2class,knn,loso,3,3,,200,40,0.475,0.475,0.47333333333333333,0.475,0.4666666666666667
2class,knn,loso,4,4,,200,40,0.325,0.32499999999999996,0.32456140350877194,0.32499999999999996,0.32457786116322707
2class,knn,loso,5,5,,200,40,0.575,0.575,0.5800000000000001,0.575,0.5682539682539682
2class,knn,loso,6,6,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,random_forest,loso,1,1,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,random_forest,loso,2,2,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,random_forest,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,random_forest,loso,4,4,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,random_forest,loso,5,5,,200,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,random_forest,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
4class,lda,loso,1,1,,400,80,0.2375,0.23750000000000002,0.17255892255892255,0.23750000000000002,0.18246215220949263
4class,lda,loso,2,2,,400,80,0.2875,0.28750000000000003,0.21164893617021277,0.28750000000000003,0.22161809997630894
4class,lda,loso,3,3,,400,80,0.275,0.275,0.29397042908072324,0.275,0.2765791596257745
4class,lda,loso,4,4,,400,80,0.2875,0.2875,0.21585841694537344,0.2875,0.24585439838220424
4class,lda,loso,5,5,,400,80,0.4125,0.4125,0.3922549019607843,0.4125,0.37470492470492467
4class,lda,loso,6,6,,400,80,0.2875,0.28750000000000003,0.2755550900712191,0.28750000000000003,0.2200221464580237
4class,svm,loso,1,1,,400,80,0.25,0.25,0.3090277777777778,0.25,0.15678524374176547
4class,svm,loso,2,2,,400,80,0.325,0.325,0.49017558528428096,0.325,0.2757034632034632
4class,svm,loso,3,3,,400,80,0.3125,0.3125,0.30691287878787876,0.3125,0.2593495677841029
4class,svm,loso,4,4,,400,80,0.25,0.25,0.3701851851851852,0.25,0.17831402831402832
4class,svm,loso,5,5,,400,80,0.3125,0.3125,0.3459920634920635,0.3125,0.28326097105508874
4class,svm,loso,6,6,,400,80,0.3,0.3,0.34395424836601307,0.3,0.2147165053836718
4class,logistic_regression,loso,1,1,,400,80,0.275,0.275,0.2743646138807429,0.275,0.24923446882381395
