task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,lda,loso,2,2,,200,40,0.425,0.425,0.42327365728900257,0.425,0.42174732872407295
2class,lda,loso,3,3,,200,40,0.525,0.525,0.525062656641604,0.525,0.5247029393370857
2class,lda,loso,4,4,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,lda,loso,5,5,,200,40,0.625,0.625,0.6278772378516624,0.625,0.6228786926461345
2class,lda,loso,6,6,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso,2,2,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,svm,loso,3,3,,200,40,0.575,0.575,0.5854700854700855,0.575,0.5615731785944552
2class,svm,loso,4,4,,200,40,0.475,0.475,0.44285714285714284,0.475,0.3890909090909091
2class,svm,loso,5,5,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,svm,loso,6,6,,200,40,0.55,0.55,0.5980392156862745,0.55,0.48717948717948717
2class,logistic_regression,loso,1,1,,200,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,logistic_regression,loso,2,2,,200,40,0.425,0.42500000000000004,0.424812030075188,0.42500000000000004,0.42464040025015637
2class,logistic_regression,loso,3,3,,200,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,logistic_regression,loso,4,4,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,logistic_regression,loso,5,5,,200,40,0.65,0.65,0.65625,0.65,0.6464646464646464
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.40476190476190477
2class,knn,loso,1,1,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,knn,loso,2,2,,200,40,0.525,0.525,0.5255754475703325,0.525,0.5223130106851037
2class,knn,loso,3,3,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,knn,loso,4,4,,200,40,0.425,0.42500000000000004,0.4059561128526646,0.42500000000000004,0.39433838051349573
2class,knn,loso,5,5,,200,40,0.525,0.525,0.5266666666666666,0.525,0.5174603174603174
2class,knn,loso,6,6,,200,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
2class,random_forest,loso,1,1,,200,40,0.55,0.55,0.578125,0.55,0.5054945054945055
2class,random_forest,loso,2,2,,200,40,0.275,0.275,0.2698209718670077,0.275,0.27089880578252673
2class,random_forest,loso,3,3,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,random_forest,loso,4,4,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,random_forest,loso,5,5,,200,40,0.4,0.4,0.398989898989899,0.4,0.39849624060150374
2class,random_forest,loso,6,6,,200,40,0.55,0.55,0.5505050505050505,0.55,0.5488721804511278
4class,lda,loso,1,1,,400,80,0.2875,0.2875,0.33518062397372744,0.2875,0.2142808172219937
4class,lda,loso,2,2,,400,80,0.275,0.275,0.21012731481481484,0.275,0.2360065466448445
4class,lda,loso,3,3,,400,80,0.325,0.325,0.33134920634920634,0.325,0.3229401803602385
4class,lda,loso,4,4,,400,80,0.275,0.275,0.19963369963369962,0.275,0.22200821777092963
4class,lda,loso,5,5,,400,80,0.325,0.325,0.3157894736842105,0.325,0.27448593073593075
4class,lda,loso,6,6,,400,80,0.2875,0.2875,0.23270440251572327,0.2875,0.2265619173109912
4class,svm,loso,1,1,,400,80,0.25,0.25,0.4393162393162393,0.25,0.17516855017869218
4class,svm,loso,2,2,,400,80,0.225,0.22500000000000003,0.13891941391941393,0.22500000000000003,0.1318669348081113
4class,svm,loso,3,3,,400,80,0.2625,0.2625,0.2554563492063492,0.2625,0.22584704379836226
4class,svm,loso,4,4,,400,80,0.2,0.2,0.13616071428571427,0.2,0.1391325536062378
4class,svm,loso,5,5,,400,80,0.2625,0.2625,0.2913265306122449,0.2625,0.22189520624303233
4class,svm,loso,6,6,,400,80,0.3125,0.3125,0.2605600539811066,0.3125,0.24480519480519483
4class,logistic_regression,loso,1,1,,400,80,0.275,0.275,0.13782337198929528,0.275,0.17169750081142487
4class,logistic_regression,loso,2,2,,400,80,0.2375,0.2375,0.19143356643356643,0.2375,0.2116977225672878
4class,logistic_regression,loso,3,3,,400,80,0.35,0.35,0.38301482873851295,0.35,0.3487360340808617
4class,logistic_regression,loso,4,4,,400,80,0.275,0.275,0.21041666666666667,0.275,0.22166666666666668
4class,logistic_regression,loso,5,5,,400,80,0.325,0.32499999999999996,0.36789529914529917,0.32499999999999996,0.30163170163170167
4class,logistic_regression,loso,6,6,,400,80,0.3,0.3,0.3152651515151515,0.3,0.2534595605423095
4class,knn,loso,1,1,,400,80,0.1875,0.1875,0.16977969348659003,0.1875,0.1601966383370324
4class,knn,loso,2,2,,400,80,0.2875,0.2875,0.28393541324575805,0.2875,0.2555427604688688
4class,knn,loso,3,3,,400,80,0.2,0.2,0.2008458646616541,0.2,0.20036741713570982
4class,knn,loso,4,4,,400,80,0.275,0.275,0.27463054187192115,0.275,0.257771164021164
4class,knn,loso,5,5,,400,80,0.2625,0.2625,0.2665934065934066,0.2625,0.25914017781025456
4class,knn,loso,6,6,,400,80,0.275,0.275,0.2737556561085973,0.275,0.26528801528801527
4class,random_forest,loso,1,1,,400,80,0.2875,0.28750000000000003,0.2726577212806026,0.28750000000000003,0.223802768597618
4class,random_forest,loso,2,2,,400,80,0.2125,0.21250000000000002,0.14924587125042132,0.21250000000000002,0.16844892026578073
4class,random_forest,loso,3,3,,400,80,0.275,0.27499999999999997,0.290273132664437,0.27499999999999997,0.27730352860734425
4class,random_forest,loso,4,4,,400,80,0.2625,0.2625,0.24585921325051757,0.2625,0.22230524474619984
4class,random_forest,loso,5,5,,400,80,0.2125,0.21250000000000002,0.2049751718869366,0.21250000000000002,0.18858273596176822
4class,random_forest,loso,6,6,,400,80,0.2625,0.2625,0.21162280701754385,0.2625,0.18164172783738003
6class,lda,loso,1,1,,600,120,0.2,0.20000000000000004,0.26726217397859187,0.20000000000000004,0.17844406242626487
6class,lda,loso,2,2,,600,120,0.25,0.25,0.21036451471234083,0.25,0.19878183831672205
6class,lda,loso,3,3,,600,120,0.23333333333333334,0.23333333333333336,0.24553650746935682,0.23333333333333336,0.21308739728362155
6class,lda,loso,4,4,,600,120,0.175,0.17500000000000002,0.12631154156577884,0.17500000000000002,0.12280239099859352
