task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,lda,loso,2,2,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,lda,loso,3,3,,200,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,lda,loso,4,4,,200,40,0.35,0.35,0.34375,0.35,0.3434343434343434
2class,lda,loso,5,5,,200,40,0.525,0.525,0.5313479623824451,0.525,0.49967083607636603
2class,lda,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,svm,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,svm,loso,3,3,,200,40,0.55,0.55,0.554945054945055,0.55,0.5396419437340154
2class,svm,loso,4,4,,200,40,0.45,0.45,0.23684210526315788,0.45,0.3103448275862069
2class,svm,loso,5,5,,200,40,0.55,0.55,0.5666666666666667,0.55,0.52
2class,svm,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,logistic_regression,loso,1,1,,200,40,0.525,0.525,0.5900900900900901,0.525,0.42028985507246375
2class,logistic_regression,loso,2,2,,200,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,logistic_regression,loso,3,3,,200,40,0.6,0.6000000000000001,0.6190476190476191,0.6000000000000001,0.5833333333333333
2class,logistic_regression,loso,4,4,,200,40,0.4,0.4,0.3901098901098901,0.4,0.38618925831202044
2class,logistic_regression,loso,5,5,,200,40,0.575,0.575,0.60752688172043,0.575,0.5402298850574713
2class,logistic_regression,loso,6,6,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,knn,loso,1,1,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,knn,loso,2,2,,200,40,0.675,0.675,0.6790281329923273,0.675,0.6731615336266499
2class,knn,loso,3,3,,200,40,0.4,0.4,0.398989898989899,0.4,0.39849624060150374
2class,knn,loso,4,4,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,knn,loso,5,5,,200,40,0.375,0.375,0.3721227621483376,0.375,0.37146448774355756
2class,knn,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.3730407523510972
2class,random_forest,loso,1,1,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,random_forest,loso,2,2,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,random_forest,loso,3,3,,200,40,0.55,0.55,0.55,0.55,0.55
2class,random_forest,loso,4,4,,200,40,0.425,0.42500000000000004,0.32857142857142857,0.42500000000000004,0.3309090909090909
2class,random_forest,loso,5,5,,200,40,0.55,0.55,0.5520833333333333,0.55,0.5454545454545454
2class,random_forest,loso,6,6,,200,40,0.475,0.475,0.24358974358974358,0.475,0.3220338983050847
4class,lda,loso,1,1,,400,80,0.225,0.225,0.1832894736842105,0.225,0.17838827838827837
4class,lda,loso,2,2,,400,80,0.2125,0.21250000000000002,0.1213235294117647,0.21250000000000002,0.11174242424242424
4class,lda,loso,3,3,,400,80,0.275,0.275,0.28076612903225806,0.275,0.26414565826330527
4class,lda,loso,4,4,,400,80,0.2625,0.2625,0.31493506493506496,0.2625,0.12690230731467844
4class,lda,loso,5,5,,400,80,0.2625,0.2625,0.19440993788819877,0.2625,0.2062261597145318
4class,lda,loso,6,6,,400,80,0.225,0.225,0.1893034825870647,0.225,0.14127936031984006
4class,svm,loso,1,1,,400,80,0.275,0.27499999999999997,0.19384057971014493,0.27499999999999997,0.16443388072601556
4class,svm,loso,2,2,,400,80,0.2375,0.2375,0.11071428571428571,0.2375,0.12777777777777777
4class,svm,loso,3,3,,400,80,0.375,0.375,0.44399641577060933,0.375,0.37385395537525357
4class,svm,loso,4,4,,400,80,0.225,0.225,0.23511904761904762,0.225,0.16760054461667367
4class,svm,loso,5,5,,400,80,0.3125,0.3125,0.23140889830508474,0.3125,0.224817158931083
4class,svm,loso,6,6,,400,80,0.325,0.32499999999999996,0.24892857142857142,0.32499999999999996,0.27840909090909094
4class,logistic_regression,loso,1,1,,400,80,0.2375,0.2375,0.20952380952380956,0.2375,0.16369477911646585
4class,logistic_regression,loso,2,2,,400,80,0.225,0.225,0.10606060606060606,0.225,0.12528132033008252
4class,logistic_regression,loso,3,3,,400,80,0.2625,0.2625,0.2587652587652588,0.2625,0.24601351576284164
4class,logistic_regression,loso,4,4,,400,80,0.2375,0.2375,0.060897435897435896,0.2375,0.09693877551020408
4class,logistic_regression,loso,5,5,,400,80,0.3,0.30000000000000004,0.3143478260869565,0.30000000000000004,0.257979797979798
4class,logistic_regression,loso,6,6,,400,80,0.2375,0.2375,0.13392857142857142,0.2375,0.13362794612794612
4class,knn,loso,1,1,,400,80,0.175,0.17500000000000002,0.08105646630236793,0.17500000000000002,0.09748829289059174
4class,knn,loso,2,2,,400,80,0.25,0.25,0.24927849927849927,0.25,0.21975328260089105
4class,knn,loso,3,3,,400,80,0.25,0.25,0.25468582887700536,0.25,0.25006435006435007
4class,knn,loso,4,4,,400,80,0.2375,0.2375,0.21097652347652346,0.2375,0.20722068241352953
