task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,within_subject_5fold,30,0.5541666666666667,0.5541666666666667,0.5542608695652174,0.5541666666666667,0.5539730785931394,0.5541666666666667,0.16981403226929023,0.5541666666666667,0.16981403226929023,0.5521428571428572,0.20007495760872104,0.5541666666666667,0.16981403226929023,0.5362073112073112,0.181493683685673
2class,svm,within_subject_5fold,30,0.5208333333333334,0.5208333333333334,0.5209044665876943,0.5208333333333334,0.5204253618529653,0.5208333333333334,0.14463795798091483,0.5208333333333334,0.14463795798091483,0.5273015873015873,0.17572948415077994,0.5208333333333334,0.14463795798091483,0.5008994708994708,0.1502360790826656
2class,logistic_regression,within_subject_5fold,30,0.5708333333333333,0.5708333333333333,0.5712340247223968,0.5708333333333333,0.5702289678193293,0.5708333333333333,0.16356488688658763,0.5708333333333333,0.16356488688658763,0.5682539682539682,0.185909882074516,0.5708333333333333,0.16356488688658763,0.5537999037999038,0.17561815603377007
2class,knn,within_subject_5fold,30,0.5541666666666667,0.5541666666666667,0.5570550800965548,0.5541666666666667,0.5484517592446062,0.5541666666666667,0.1467826246150711,0.5541666666666667,0.1467826246150711,0.5724603174603173,0.1887417894609969,0.5541666666666667,0.1467826246150711,0.5294011544011544,0.1554720281781583
2class,random_forest,within_subject_5fold,30,0.5583333333333333,0.5583333333333333,0.5584795321637427,0.5583333333333333,0.5580571190327288,0.5583333333333333,0.16051133570215187,0.5583333333333333,0.16051133570215187,0.5757142857142857,0.19096801582669037,0.5583333333333333,0.16051133570215187,0.5430254930254931,0.16451034060393976
4class,lda,within_subject_5fold,30,0.3229166666666667,0.32291666666666663,0.32416700903486306,0.32291666666666663,0.3234058489735841,0.3229166666666667,0.13018749833306661,0.3229166666666667,0.13018749833306661,0.3277876984126984,0.14891243432307943,0.3229166666666667,0.13018749833306661,0.30781084656084656,0.13146984779183524
4class,svm,within_subject_5fold,30,0.3229166666666667,0.3229166666666667,0.3259585189086836,0.3229166666666667,0.32399320083473376,0.3229166666666667,0.09558391455795384,0.3229166666666667,0.09558391455795384,0.34251412938912934,0.14800762047263655,0.3229166666666667,0.09558391455795384,0.3076540126540126,0.10685177989546889
4class,logistic_regression,within_subject_5fold,30,0.32708333333333334,0.32708333333333334,0.3276105065877329,0.32708333333333334,0.3273322984159839,0.32708333333333334,0.11933336243016406,0.32708333333333334,0.11933336243016406,0.32175595238095245,0.1375328576404363,0.32708333333333334,0.11933336243016406,0.31047258297258296,0.11840556869650135
4class,knn,within_subject_5fold,30,0.33125,0.33125,0.32727043110107623,0.33125,0.3264981221098908,0.33125,0.0840851502942107,0.33125,0.0840851502942107,0.308546176046176,0.11091522230180724,0.33125,0.0840851502942107,0.3056980519480519,0.08385633203528801
4class,random_forest,within_subject_5fold,30,0.32916666666666666,0.32916666666666666,0.32633035287902545,0.32916666666666666,0.3272405404835603,0.32916666666666666,0.10069204977995476,0.32916666666666666,0.10069204977995476,0.32698502886002884,0.13005783158201223,0.32916666666666666,0.10069204977995476,0.3098658748658749,0.10499955152556108
6class,lda,within_subject_5fold,30,0.2722222222222222,0.2722222222222222,0.2756276056413419,0.2722222222222222,0.273171442273912,0.27222222222222225,0.09546022376355325,0.27222222222222225,0.09546022376355325,0.26932980599647266,0.11836918794376847,0.27222222222222225,0.09546022376355325,0.25375445542112207,0.09543265682930989
6class,svm,within_subject_5fold,30,0.24722222222222223,0.24722222222222223,0.24913178736243732,0.24722222222222223,0.24776649708560594,0.24722222222222223,0.0997295726167569,0.24722222222222223,0.0997295726167569,0.2532675966009299,0.10800359186077949,0.24722222222222223,0.0997295726167569,0.2339495381162048,0.09664172006134925
6class,logistic_regression,within_subject_5fold,30,0.25,0.25,0.25147569400040126,0.25,0.25044611384499127,0.25,0.11436216027910501,0.25,0.11436216027910501,0.24961860670194005,0.12717075805566225,0.25,0.11436216027910501,0.23653568653568652,0.11052322020317827
6class,knn,within_subject_5fold,30,0.23472222222222222,0.2347222222222222,0.23463221871372317,0.2347222222222222,0.2341033116740655,0.23472222222222222,0.08705796635674899,0.23472222222222222,0.08705796635674899,0.2399717412217412,0.09797040337432052,0.23472222222222222,0.08705796635674899,0.2223088023088023,0.08192048512791503
6class,random_forest,within_subject_5fold,30,0.2625,0.2625,0.2621262484057373,0.2625,0.2615747477944397,0.2625,0.11841448703913192,0.2625,0.11841448703913192,0.2756487493987494,0.12241761015806822,0.2625,0.11841448703913192,0.2520959287625954,0.11457828150299784
