task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.45,0.44999999999999996,0.44505494505494503,0.44999999999999996,0.4373401534526854
2class,lda,loso,2,2,,200,40,0.4,0.4,0.3901098901098901,0.4,0.38618925831202044
2class,lda,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,lda,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,lda,loso,5,5,,200,40,0.6,0.6000000000000001,0.6190476190476191,0.6000000000000001,0.5833333333333333
2class,lda,loso,6,6,,200,40,0.5,0.5,0.25,0.5,0.3333333333333333
2class,svm,loso,1,1,,200,40,0.425,0.425,0.3701298701298701,0.425,0.35709294199860236
2class,svm,loso,2,2,,200,40,0.575,0.575,0.60752688172043,0.575,0.5402298850574713
2class,svm,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,svm,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.40476190476190477
2class,svm,loso,5,5,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,svm,loso,6,6,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,logistic_regression,loso,1,1,,200,40,0.475,0.475,0.47150997150997154,0.475,0.4584139264990329
2class,logistic_regression,loso,2,2,,200,40,0.4,0.4,0.3901098901098901,0.4,0.38618925831202044
2class,logistic_regression,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,logistic_regression,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,logistic_regression,loso,5,5,,200,40,0.675,0.675,0.6866666666666666,0.675,0.6698412698412699
2class,logistic_regression,loso,6,6,,200,40,0.525,0.525,0.7564102564102564,0.525,0.38660209846650523
2class,knn,loso,1,1,,200,40,0.5,0.5,0.5,0.5,0.4791666666666667
2class,knn,loso,2,2,,200,40,0.425,0.42500000000000004,0.42000000000000004,0.42500000000000004,0.41587301587301584
2class,knn,loso,3,3,,200,40,0.45,0.45,0.44791666666666663,0.45,0.4444444444444444
2class,knn,loso,4,4,,200,40,0.425,0.425,0.3924731182795699,0.425,0.3779580797836376
2class,knn,loso,5,5,,200,40,0.4,0.4,0.4,0.4,0.4
2class,knn,loso,6,6,,200,40,0.375,0.375,0.37468671679197996,0.375,0.37460913070669166
2class,random_forest,loso,1,1,,200,40,0.475,0.475,0.46415770609318996,0.475,0.43204868154158216
2class,random_forest,loso,2,2,,200,40,0.45,0.45,0.4019607843137255,0.45,0.3732193732193732
2class,random_forest,loso,3,3,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,random_forest,loso,4,4,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,random_forest,loso,5,5,,200,40,0.475,0.475,0.46415770609318996,0.475,0.43204868154158216
2class,random_forest,loso,6,6,,200,40,0.475,0.47500000000000003,0.4744245524296675,0.47500000000000003,0.47203016970458833
4class,lda,loso,1,1,,400,80,0.2875,0.2875,0.2875,0.2875,0.21048913043478262
4class,lda,loso,2,2,,400,80,0.275,0.275,0.4458333333333333,0.275,0.2017857142857143
4class,lda,loso,3,3,,400,80,0.2875,0.2875,0.24011752136752137,0.2875,0.2521645021645022
4class,lda,loso,4,4,,400,80,0.275,0.27499999999999997,0.1832107843137255,0.27499999999999997,0.20181454581145408
4class,lda,loso,5,5,,400,80,0.375,0.375,0.392161558109834,0.375,0.3432027066145607
4class,lda,loso,6,6,,400,80,0.3,0.30000000000000004,0.25476190476190474,0.30000000000000004,0.21093373493975906
4class,svm,loso,1,1,,400,80,0.225,0.225,0.22181372549019607,0.225,0.1461247086247086
4class,svm,loso,2,2,,400,80,0.25,0.25,0.11506849315068493,0.25,0.12215053763440861
4class,svm,loso,3,3,,400,80,0.25,0.25,0.1719632768361582,0.25,0.16737159201557936
4class,svm,loso,4,4,,400,80,0.275,0.275,0.37907407407407406,0.275,0.22889520285449982
4class,svm,loso,5,5,,400,80,0.325,0.32500000000000007,0.49304609649437237,0.32500000000000007,0.28724408423656544
4class,svm,loso,6,6,,400,80,0.275,0.275,0.26683255269320844,0.275,0.21354166666666666
4class,logistic_regression,loso,1,1,,400,80,0.25,0.25,0.25416666666666665,0.25,0.22183493589743586
4class,logistic_regression,loso,2,2,,400,80,0.2125,0.21250000000000002,0.256547619047619,0.21250000000000002,0.1541400255754476
4class,logistic_regression,loso,3,3,,400,80,0.2625,0.2625,0.26675069116929584,0.2625,0.2417492901363869
4class,logistic_regression,loso,4,4,,400,80,0.275,0.275,0.16666666666666669,0.275,0.18571428571428572
4class,logistic_regression,loso,5,5,,400,80,0.275,0.275,0.25242611032084716,0.275,0.24670562347513345
4class,logistic_regression,loso,6,6,,400,80,0.2625,0.2625,0.17532467532467533,0.2625,0.16020671834625322
4class,knn,loso,1,1,,400,80,0.2875,0.2875,0.34836926091825304,0.2875,0.2649185391722705
4class,knn,loso,2,2,,400,80,0.2875,0.2875,0.30465686274509807,0.2875,0.27852483164983166
4class,knn,loso,3,3,,400,80,0.275,0.275,0.3083302785923754,0.275,0.28034170657510316
4class,knn,loso,4,4,,400,80,0.25,0.24999999999999997,0.23750514191690664,0.24999999999999997,0.23247451473257924
4class,knn,loso,5,5,,400,80,0.25,0.25,0.25019607843137254,0.25,0.24870791844476056
4class,knn,loso,6,6,,400,80,0.2,0.2,0.20274170274170275,0.2,0.19367265409107293
4class,random_forest,loso,1,1,,400,80,0.25,0.25,0.295252769829041,0.25,0.19816034544317607
4class,random_forest,loso,2,2,,400,80,0.275,0.275,0.2749542124542125,0.275,0.23414155681104837
4class,random_forest,loso,3,3,,400,80,0.2375,0.23750000000000002,0.22113018827556696,0.23750000000000002,0.20898261574491084
4class,random_forest,loso,4,4,,400,80,0.3,0.3,0.37883064516129034,0.3,0.2821638655462185
4class,random_forest,loso,5,5,,400,80,0.25,0.25,0.2437054671097224,0.25,0.21774180970966783
4class,random_forest,loso,6,6,,400,80,0.2625,0.26249999999999996,0.15064102564102563,0.26249999999999996,0.18258807588075882
6class,lda,loso,1,1,,600,120,0.125,0.125,0.0902046783625731,0.125,0.0746031746031746
6class,lda,loso,2,2,,600,120,0.21666666666666667,0.21666666666666667,0.24346215230278156,0.21666666666666667,0.17313092313092313
6class,lda,loso,3,3,,600,120,0.25,0.25,0.28316789031074746,0.25,0.244708687933648
6class,lda,loso,4,4,,600,120,0.14166666666666666,0.14166666666666666,0.10768213268213267,0.14166666666666666,0.11068124474348191
6class,lda,loso,5,5,,600,120,0.275,0.27499999999999997,0.33727453102453103,0.27499999999999997,0.258928756947691
6class,lda,loso,6,6,,600,120,0.20833333333333334,0.20833333333333334,0.20642142806988883,0.20833333333333334,0.18167303684176386
6class,svm,loso,1,1,,600,120,0.13333333333333333,0.13333333333333333,0.19217687074829934,0.13333333333333333,0.058245897228948074
6class,svm,loso,2,2,,600,120,0.15833333333333333,0.15833333333333333,0.056164383561643834,0.15833333333333333,0.0819961400606562
6class,svm,loso,3,3,,600,120,0.16666666666666666,0.16666666666666666,0.1624465811965812,0.16666666666666666,0.1044011544011544
6class,svm,loso,4,4,,600,120,0.16666666666666666,0.16666666666666666,0.1697839981738287,0.16666666666666666,0.1225706431402634
6class,svm,loso,5,5,,600,120,0.18333333333333332,0.18333333333333335,0.30036261631089217,0.18333333333333335,0.16270765682218494
6class,svm,loso,6,6,,600,120,0.18333333333333332,0.18333333333333335,0.1726623293787473,0.18333333333333335,0.1274771132469402
6class,logistic_regression,loso,1,1,,600,120,0.13333333333333333,0.13333333333333333,0.13366833219774396,0.13333333333333333,0.09560535713017983
6class,logistic_regression,loso,2,2,,600,120,0.15,0.15,0.08848860118209963,0.15,0.0906219228799874
6class,logistic_regression,loso,3,3,,600,120,0.18333333333333332,0.18333333333333332,0.21314102564102566,0.18333333333333332,0.17278367393186744
6class,logistic_regression,loso,4,4,,600,120,0.13333333333333333,0.13333333333333333,0.09269787230313546,0.13333333333333333,0.10057924531608742
6class,logistic_regression,loso,5,5,,600,120,0.19166666666666668,0.19166666666666668,0.20236372736372735,0.19166666666666668,0.1695436874092665
6class,logistic_regression,loso,6,6,,600,120,0.2,0.19999999999999998,0.2778829966329966,0.19999999999999998,0.1812226301390388
6class,knn,loso,1,1,,600,120,0.14166666666666666,0.1416666666666667,0.15823462054805337,0.1416666666666667,0.11778231134552973
6class,knn,loso,2,2,,600,120,0.16666666666666666,0.16666666666666666,0.18742685011067364,0.16666666666666666,0.17114398364398364
6class,knn,loso,3,3,,600,120,0.19166666666666668,0.19166666666666665,0.20319551623899448,0.19166666666666665,0.18137230588834927
6class,knn,loso,4,4,,600,120,0.10833333333333334,0.10833333333333334,0.07954291365669074,0.10833333333333334,0.08357008145740541
6class,knn,loso,5,5,,600,120,0.13333333333333333,0.13333333333333333,0.1336097159895787,0.13333333333333333,0.12515552823297102
6class,knn,loso,6,6,,600,120,0.15833333333333333,0.15833333333333335,0.16825396825396824,0.15833333333333335,0.14133885986827163
6class,random_forest,loso,1,1,,600,120,0.14166666666666666,0.1416666666666667,0.13426520420902444,0.1416666666666667,0.08884706244033462
6class,random_forest,loso,2,2,,600,120,0.10833333333333334,0.10833333333333334,0.07407407407407408,0.10833333333333334,0.0833680990126547
6class,random_forest,loso,3,3,,600,120,0.15833333333333333,0.15833333333333335,0.17554164836773534,0.15833333333333335,0.1534728313739877
6class,random_forest,loso,4,4,,600,120,0.19166666666666668,0.19166666666666665,0.31570086367880484,0.19166666666666665,0.16685616852283522
6class,random_forest,loso,5,5,,600,120,0.23333333333333334,0.2333333333333333,0.21873875419743993,0.2333333333333333,0.19992193178179898
6class,random_forest,loso,6,6,,600,120,0.18333333333333332,0.18333333333333335,0.21051165146909825,0.18333333333333335,0.11886415322818832
