task,classifier,candidate,classifier_overrides,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fold_count
4class,random_forest,rf_500_log2,"{'n_estimators': 500, 'max_features': 'log2', 'class_weight': None}",0.31875,0.31875,0.3175415062887347,0.31875,0.3179580295913208,30
4class,random_forest,rf_500_sqrt_bal,"{'n_estimators': 500, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.3458333333333333,0.3458333333333333,0.3457014320708498,0.3458333333333333,0.3457306111967129,30
4class,random_forest,rf_800_log2,"{'n_estimators': 800, 'max_features': 'log2', 'class_weight': None}",0.325,0.32499999999999996,0.32357352389774807,0.32499999999999996,0.32398214916033596,30
6class,lda,lda_default,{},0.2638888888888889,0.2638888888888889,0.26833944678128274,0.2638888888888889,0.2651406198087019,30
6class,lda,lda_svd,"{'solver': 'svd', 'shrinkage': None}",0.20972222222222223,0.20972222222222223,0.21072900542852377,0.20972222222222223,0.21012532502557904,30
6class,lda,lda_eigen_auto,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.23472222222222222,0.2347222222222222,0.2355861252846447,0.2347222222222222,0.23508130267365923,30
6class,lda,lda_lsqr_shrink_0p5,"{'solver': 'lsqr', 'shrinkage': 0.5}",0.25972222222222224,0.25972222222222224,0.2638420592747935,0.25972222222222224,0.26104295257433807,30
6class,logistic_regression,logreg_c0p1_bal,"{'C': 0.1, 'class_weight': 'balanced'}",0.2611111111111111,0.2611111111111111,0.26318644260501106,0.2611111111111111,0.26185676902070465,30
6class,logistic_regression,logreg_c0p3_bal,"{'C': 0.3, 'class_weight': 'balanced'}",0.2625,0.2625,0.2655350545238517,0.2625,0.26364224636513317,30
6class,logistic_regression,logreg_c1_bal,"{'C': 1.0, 'class_weight': 'balanced'}",0.2569444444444444,0.2569444444444445,0.2605238696006539,0.2569444444444445,0.2583400683609639,30
6class,logistic_regression,logreg_c0p3_none,"{'C': 0.3, 'class_weight': None}",0.2625,0.2625,0.2655350545238517,0.2625,0.26364224636513317,30
6class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.25277777777777777,0.25277777777777777,0.2541047273697857,0.25277777777777777,0.25228852809516994,30
6class,svm,svm_linear_c1,"{'kernel': 'linear', 'C': 1.0, 'class_weight': None}",0.25277777777777777,0.25277777777777777,0.2541047273697857,0.25277777777777777,0.25228852809516994,30
6class,svm,svm_rbf_c1_scale,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'class_weight': None}",0.21805555555555556,0.21805555555555556,0.2240865833122999,0.21805555555555556,0.2195008016719007,30
6class,svm,svm_rbf_c3_scale,"{'kernel': 'rbf', 'C': 3.0, 'gamma': 'scale', 'class_weight': None}",0.24027777777777778,0.24027777777777778,0.24273669979190635,0.24027777777777778,0.24109439593551327,30
6class,random_forest,rf_200_sqrt,"{'n_estimators': 200, 'max_features': 'sqrt', 'class_weight': None}",0.24861111111111112,0.24861111111111112,0.2506487673491116,0.24861111111111112,0.24894029010774021,30
6class,random_forest,rf_500_sqrt,"{'n_estimators': 500, 'max_features': 'sqrt', 'class_weight': None}",0.2388888888888889,0.23888888888888893,0.24121522038567492,0.23888888888888893,0.2396295049128344,30
6class,random_forest,rf_800_sqrt,"{'n_estimators': 800, 'max_features': 'sqrt', 'class_weight': None}",0.23333333333333334,0.2333333333333333,0.23334449112655817,0.2333333333333333,0.23267788914082224,30
6class,random_forest,rf_500_log2,"{'n_estimators': 500, 'max_features': 'log2', 'class_weight': None}",0.24305555555555555,0.24305555555555558,0.24289548873102448,0.24305555555555558,0.24149102330399552,30
