task,classifier,validation_strategy,fold,subject_id,subject_fold,train_sample_count,test_sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
2class,lda,loso,1,1,,200,40,0.325,0.325,0.32097186700767266,0.325,0.3211816467630421
2class,lda,loso,2,2,,200,40,0.375,0.375,0.37468671679197996,0.375,0.37460913070669166
2class,lda,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,lda,loso,4,4,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,lda,loso,5,5,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,lda,loso,6,6,,200,40,0.45,0.45,0.421875,0.45,0.3956043956043956
2class,svm,loso,1,1,,200,40,0.525,0.525,0.5571428571428572,0.525,0.44727272727272727
2class,svm,loso,2,2,,200,40,0.475,0.475,0.47150997150997154,0.475,0.4584139264990329
2class,svm,loso,3,3,,200,40,0.55,0.55,0.554945054945055,0.55,0.5396419437340154
2class,svm,loso,4,4,,200,40,0.6,0.6000000000000001,0.6190476190476191,0.6000000000000001,0.5833333333333333
2class,svm,loso,5,5,,200,40,0.45,0.44999999999999996,0.43333333333333335,0.44999999999999996,0.41333333333333333
2class,svm,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,logistic_regression,loso,1,1,,200,40,0.375,0.375,0.37468671679197996,0.375,0.37460913070669166
2class,logistic_regression,loso,2,2,,200,40,0.375,0.375,0.37468671679197996,0.375,0.37460913070669166
2class,logistic_regression,loso,3,3,,200,40,0.5,0.5,0.5,0.5,0.4987468671679198
2class,logistic_regression,loso,4,4,,200,40,0.55,0.55,0.578125,0.55,0.5054945054945055
2class,logistic_regression,loso,5,5,,200,40,0.525,0.525,0.5266666666666666,0.525,0.5174603174603174
2class,logistic_regression,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.4301994301994302
2class,knn,loso,1,1,,200,40,0.575,0.575,0.6298701298701299,0.575,0.5248078266946191
2class,knn,loso,2,2,,200,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,knn,loso,3,3,,200,40,0.625,0.625,0.6278772378516624,0.625,0.6228786926461345
2class,knn,loso,4,4,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
2class,knn,loso,5,5,,200,40,0.6,0.6,0.6098901098901099,0.6,0.5907928388746804
2class,knn,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.4666666666666667
2class,random_forest,loso,1,1,,200,40,0.45,0.45,0.421875,0.45,0.3956043956043956
2class,random_forest,loso,2,2,,200,40,0.475,0.47500000000000003,0.45670995670995673,0.47500000000000003,0.4129979035639413
2class,random_forest,loso,3,3,,200,40,0.525,0.525,0.53584229390681,0.525,0.4861392832995267
2class,random_forest,loso,4,4,,200,40,0.475,0.475,0.474937343358396,0.475,0.474671669793621
2class,random_forest,loso,5,5,,200,40,0.575,0.575,0.575187969924812,0.575,0.5747342088805503
2class,random_forest,loso,6,6,,200,40,0.5,0.5,0.5,0.5,0.45054945054945056
4class,lda,loso,1,1,,400,80,0.2125,0.21250000000000002,0.1881639194139194,0.21250000000000002,0.15506011532327324
4class,lda,loso,2,2,,400,80,0.275,0.275,0.2841898954703833,0.275,0.24950068992011037
4class,lda,loso,3,3,,400,80,0.275,0.275,0.2708028752436647,0.275,0.2701603640853361
4class,lda,loso,4,4,,400,80,0.2625,0.2625,0.2060294117647059,0.2625,0.22570248820248823
4class,lda,loso,5,5,,400,80,0.25,0.25,0.26817602040816324,0.25,0.22190591212330343
4class,lda,loso,6,6,,400,80,0.25,0.25,0.1742063492063492,0.25,0.16490406068719324
4class,svm,loso,1,1,,400,80,0.2375,0.2375,0.1595238095238095,0.2375,0.1570281124497992
4class,svm,loso,2,2,,400,80,0.2375,0.2375,0.13214285714285715,0.2375,0.13148148148148148
4class,svm,loso,3,3,,400,80,0.2875,0.2875,0.22918408584169453,0.2875,0.24721346297026234
4class,svm,loso,4,4,,400,80,0.2875,0.28750000000000003,0.28358743884400955,0.28750000000000003,0.24909862197295995
4class,svm,loso,5,5,,400,80,0.275,0.275,0.3148546273546274,0.275,0.24105460494487305
4class,svm,loso,6,6,,400,80,0.35,0.35,0.4411347517730496,0.35,0.31938444423843515
4class,logistic_regression,loso,1,1,,400,80,0.1375,0.1375,0.05,0.1375,0.07333333333333333
4class,logistic_regression,loso,2,2,,400,80,0.225,0.225,0.23868468696054904,0.225,0.21706785943464596
4class,logistic_regression,loso,3,3,,400,80,0.35,0.35,0.33417913105413105,0.35,0.336180958521384
4class,logistic_regression,loso,4,4,,400,80,0.2,0.2,0.158187134502924,0.2,0.17511183851609383
